세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,전설의 뿔피리,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,화염 부적,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,아누비스의 가면,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,잊혀진 기억 로켓,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,요정의 목걸이,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,고룡의 비늘,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,어둠에 물든 구슬,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,80,올스텟 +80,17,680,💎 360,"4,760",,,,,,,,,,,80,환생 포인트 획득량 80% 증가,143,"5,403","💎 1,640","15,640",,,80,최종 STR 80% 증가,205,"7,606","💎 1,320","12,920",,,80,최종 DEX 80% 증가,205,"7,606","💎 1,320","12,920",,,80,최종 INT 80% 증가,205,"7,606","💎 1,320","12,920",,,80,최종 LUK 80% 증가,205,"7,606","💎 1,320","12,920",,,80,최종 공격력 80% 증가,276,"10,325","💎 1,640","15,640",,,80,최종 크리티컬 데미지 80% 증가,348,"13,044","💎 1,960","18,360",,,80,이세계의 재화 2배 획득 확률 40% 증가,630,"23,445","💎 2,000","20,630",,,,,,,,
,81,올스텟 +81,17,697,-,"4,760",,,,,,,,,,,81,환생 포인트 획득량 81% 증가,144,"5,546",-,"15,640",,,81,최종 STR 81% 증가,207,"7,811",-,"12,920",,,81,최종 DEX 81% 증가,207,"7,811",-,"12,920",,,81,최종 INT 81% 증가,207,"7,811",-,"12,920",,,81,최종 LUK 81% 증가,207,"7,811",-,"12,920",,,81,최종 공격력 81% 증가,280,"10,601",-,"15,640",,,81,최종 크리티컬 데미지 81% 증가,352,"13,392",-,"18,360",,,81,이세계의 재화 2배 획득 확률 40.5% 증가,639,"24,075",-,"20,630",,,,,,,,
,82,올스텟 +82,17,714,-,"4,760",,,,,,,,,,,82,환생 포인트 획득량 82% 증가,146,"5,690",-,"15,640",,,82,최종 STR 82% 증가,210,"8,018",-,"12,920",,,82,최종 DEX 82% 증가,210,"8,018",-,"12,920",,,82,최종 INT 82% 증가,210,"8,018",-,"12,920",,,82,최종 LUK 82% 증가,210,"8,018",-,"12,920",,,82,최종 공격력 82% 증가,284,"10,881",-,"15,640",,,82,최종 크리티컬 데미지 82% 증가,357,"13,744",-,"18,360",,,82,이세계의 재화 2배 획득 확률 41% 증가,648,"24,714",-,"20,630",,,,,,,,
,83,올스텟 +83,17,731,-,"4,760",,,,,,,,,,,83,환생 포인트 획득량 83% 증가,148,"5,836",-,"15,640",,,83,최종 STR 83% 증가,213,"8,228",-,"12,920",,,83,최종 DEX 83% 증가,213,"8,228",-,"12,920",,,83,최종 INT 83% 증가,213,"8,228",-,"12,920",,,83,최종 LUK 83% 증가,213,"8,228",-,"12,920",,,83,최종 공격력 83% 증가,288,"11,165",-,"15,640",,,83,최종 크리티컬 데미지 83% 증가,362,"14,101",-,"18,360",,,83,이세계의 재화 2배 획득 확률 41.5% 증가,657,"25,362",-,"20,630",,,,,,,,
,84,올스텟 +84,17,748,-,"4,760",,,,,,,,,,,84,환생 포인트 획득량 84% 증가,150,"5,984",-,"15,640",,,84,최종 STR 84% 증가,216,"8,441",-,"12,920",,,84,최종 DEX 84% 증가,216,"8,441",-,"12,920",,,84,최종 INT 84% 증가,216,"8,441",-,"12,920",,,84,최종 LUK 84% 증가,216,"8,441",-,"12,920",,,84,최종 공격력 84% 증가,291,"11,453",-,"15,640",,,84,최종 크리티컬 데미지 84% 증가,367,"14,463",-,"18,360",,,84,이세계의 재화 2배 획득 확률 42% 증가,666,"26,019",-,"20,630",,,,,,,,
,85,올스텟 +85,18,765,💎 370,"5,130",,,,,,,,,,,85,환생 포인트 획득량 85% 증가,152,"6,134","💎 1,730","17,370",,,85,최종 STR 85% 증가,219,"8,657","💎 1,390","14,310",,,85,최종 DEX 85% 증가,219,"8,657","💎 1,390","14,310",,,85,최종 INT 85% 증가,219,"8,657","💎 1,390","14,310",,,85,최종 LUK 85% 증가,219,"8,657","💎 1,390","14,310",,,85,최종 공격력 85% 증가,295,"11,744","💎 1,730","17,370",,,85,최종 크리티컬 데미지 85% 증가,372,"14,830","💎 2,000","20,360",,,85,이세계의 재화 2배 획득 확률 42.5% 증가,674,"26,685","💎 2,000","22,630",,,,,,,,
,86,올스텟 +86,18,783,-,"5,130",,,,,,,,,,,86,환생 포인트 획득량 86% 증가,154,"6,286",-,"17,370",,,86,최종 STR 86% 증가,222,"8,876",-,"14,310",,,86,최종 DEX 86% 증가,222,"8,876",-,"14,310",,,86,최종 INT 86% 증가,222,"8,876",-,"14,310",,,86,최종 LUK 86% 증가,222,"8,876",-,"14,310",,,86,최종 공격력 86% 증가,299,"12,039",-,"17,370",,,86,최종 크리티컬 데미지 86% 증가,377,"15,202",-,"20,360",,,86,이세계의 재화 2배 획득 확률 43% 증가,683,"27,359",-,"22,630",,,,,,,,
,87,올스텟 +87,18,801,-,"5,130",,,,,,,,,,,87,환생 포인트 획득량 87% 증가,156,"6,440",-,"17,370",,,87,최종 STR 87% 증가,225,"9,098",-,"14,310",,,87,최종 DEX 87% 증가,225,"9,098",-,"14,310",,,87,최종 INT 87% 증가,225,"9,098",-,"14,310",,,87,최종 LUK 87% 증가,225,"9,098",-,"14,310",,,87,최종 공격력 87% 증가,303,"12,338",-,"17,370",,,87,최종 크리티컬 데미지 87% 증가,381,"15,579",-,"20,360",,,87,이세계의 재화 2배 획득 확률 43.5% 증가,692,"28,042",-,"22,630",,,,,,,,
,88,올스텟 +88,18,819,-,"5,130",,,,,,,,,,,88,환생 포인트 획득량 88% 증가,158,"6,596",-,"17,370",,,88,최종 STR 88% 증가,228,"9,323",-,"14,310",,,88,최종 DEX 88% 증가,228,"9,323",-,"14,310",,,88,최종 INT 88% 증가,228,"9,323",-,"14,310",,,88,최종 LUK 88% 증가,228,"9,323",-,"14,310",,,88,최종 공격력 88% 증가,307,"12,641",-,"17,370",,,88,최종 크리티컬 데미지 88% 증가,386,"15,960",-,"20,360",,,88,이세계의 재화 2배 획득 확률 44% 증가,701,"28,734",-,"22,630",,,,,,,,
,89,올스텟 +89,18,837,-,"5,130",,,,,,,,,,,89,환생 포인트 획득량 89% 증가,160,"6,754",-,"17,370",,,89,최종 STR 89% 증가,231,"9,551",-,"14,310",,,89,최종 DEX 89% 증가,231,"9,551",-,"14,310",,,89,최종 INT 89% 증가,231,"9,551",-,"14,310",,,89,최종 LUK 89% 증가,231,"9,551",-,"14,310",,,89,최종 공격력 89% 증가,311,"12,948",-,"17,370",,,89,최종 크리티컬 데미지 89% 증가,391,"16,346",-,"20,360",,,89,이세계의 재화 2배 획득 확률 44.5% 증가,710,"29,435",-,"22,630",,,,,,,,
,90,올스텟 +90,19,855,💎 380,"5,510",,,,,,,,,,,90,환생 포인트 획득량 90% 증가,162,"6,914","💎 1,820","19,190",,,90,최종 STR 90% 증가,233,"9,782","💎 1,460","15,770",,,90,최종 DEX 90% 증가,233,"9,782","💎 1,460","15,770",,,90,최종 INT 90% 증가,233,"9,782","💎 1,460","15,770",,,90,최종 LUK 90% 증가,233,"9,782","💎 1,460","15,770",,,90,최종 공격력 90% 증가,315,"13,259","💎 1,820","19,190",,,90,최종 크리티컬 데미지 90% 증가,396,"16,737","💎 2,000","22,360",,,90,이세계의 재화 2배 획득 확률 45% 증가,719,"30,145","💎 2,000","24,630",,,,,,,,
,91,올스텟 +91,19,874,-,"5,510",,,,,,,,,,,91,환생 포인트 획득량 91% 증가,164,"7,076",-,"19,190",,,91,최종 STR 91% 증가,236,"10,015",-,"15,770",,,91,최종 DEX 91% 증가,236,"10,015",-,"15,770",,,91,최종 INT 91% 증가,236,"10,015",-,"15,770",,,91,최종 LUK 91% 증가,236,"10,015",-,"15,770",,,91,최종 공격력 91% 증가,319,"13,574",-,"19,190",,,91,최종 크리티컬 데미지 91% 증가,401,"17,133",-,"22,360",,,91,이세계의 재화 2배 획득 확률 45.5% 증가,728,"30,864",-,"24,630",,,,,,,,
,92,올스텟 +92,19,893,-,"5,510",,,,,,,,,,,92,환생 포인트 획득량 92% 증가,166,"7,240",-,"19,190",,,92,최종 STR 92% 증가,239,"10,251",-,"15,770",,,92,최종 DEX 92% 증가,239,"10,251",-,"15,770",,,92,최종 INT 92% 증가,239,"10,251",-,"15,770",,,92,최종 LUK 92% 증가,239,"10,251",-,"15,770",,,92,최종 공격력 92% 증가,323,"13,893",-,"19,190",,,92,최종 크리티컬 데미지 92% 증가,406,"17,534",-,"22,360",,,92,이세계의 재화 2배 획득 확률 46% 증가,737,"31,592",-,"24,630",,,,,,,,
,93,올스텟 +93,19,912,-,"5,510",,,,,,,,,,,93,환생 포인트 획득량 93% 증가,168,"7,406",-,"19,190",,,93,최종 STR 93% 증가,242,"10,490",-,"15,770",,,93,최종 DEX 93% 증가,242,"10,490",-,"15,770",,,93,최종 INT 93% 증가,242,"10,490",-,"15,770",,,93,최종 LUK 93% 증가,242,"10,490",-,"15,770",,,93,최종 공격력 93% 증가,326,"14,216",-,"19,190",,,93,최종 크리티컬 데미지 93% 증가,411,"17,940",-,"22,360",,,93,이세계의 재화 2배 획득 확률 46.5% 증가,746,"32,329",-,"24,630",,,,,,,,
,94,올스텟 +94,19,931,-,"5,510",,,,,,,,,,,94,환생 포인트 획득량 94% 증가,170,"7,574",-,"19,190",,,94,최종 STR 94% 증가,245,"10,732",-,"15,770",,,94,최종 DEX 94% 증가,245,"10,732",-,"15,770",,,94,최종 INT 94% 증가,245,"10,732",-,"15,770",,,94,최종 LUK 94% 증가,245,"10,732",-,"15,770",,,94,최종 공격력 94% 증가,330,"14,542",-,"19,190",,,94,최종 크리티컬 데미지 94% 증가,415,"18,351",-,"22,360",,,94,이세계의 재화 2배 획득 확률 47% 증가,755,"33,075",-,"24,630",,,,,,,,
,95,올스텟 +95,20,950,💎 390,"5,900",,,,,,,,,,,95,환생 포인트 획득량 95% 증가,172,"7,744","💎 1,910","21,100",,,95,최종 STR 95% 증가,248,"10,977","💎 1,530","17,300",,,95,최종 DEX 95% 증가,248,"10,977","💎 1,530","17,300",,,95,최종 INT 95% 증가,248,"10,977","💎 1,530","17,300",,,95,최종 LUK 95% 증가,248,"10,977","💎 1,530","17,300",,,95,최종 공격력 95% 증가,334,"14,872","💎 1,910","21,100",,,95,최종 크리티컬 데미지 95% 증가,420,"18,766","💎 2,000","24,360",,,95,이세계의 재화 2배 획득 확률 47.5% 증가,764,"33,830","💎 2,000","26,630",,,,,,,,
,96,올스텟 +96,20,970,-,"5,900",,,,,,,,,,,96,환생 포인트 획득량 96% 증가,174,"7,916",-,"21,100",,,96,최종 STR 96% 증가,251,"11,225",-,"17,300",,,96,최종 DEX 96% 증가,251,"11,225",-,"17,300",,,96,최종 INT 96% 증가,251,"11,225",-,"17,300",,,96,최종 LUK 96% 증가,251,"11,225",-,"17,300",,,96,최종 공격력 96% 증가,338,"15,206",-,"21,100",,,96,최종 크리티컬 데미지 96% 증가,425,"19,186",-,"24,360",,,96,이세계의 재화 2배 획득 확률 48% 증가,773,"34,594",-,"26,630",,,,,,,,
,97,올스텟 +97,20,990,-,"5,900",,,,,,,,,,,97,환생 포인트 획득량 97% 증가,176,"8,090",-,"21,100",,,97,최종 STR 97% 증가,254,"11,476",-,"17,300",,,97,최종 DEX 97% 증가,254,"11,476",-,"17,300",,,97,최종 INT 97% 증가,254,"11,476",-,"17,300",,,97,최종 LUK 97% 증가,254,"11,476",-,"17,300",,,97,최종 공격력 97% 증가,342,"15,544",-,"21,100",,,97,최종 크리티컬 데미지 97% 증가,430,"19,611",-,"24,360",,,97,이세계의 재화 2배 획득 확률 48.5% 증가,782,"35,367",-,"26,630",,,,,,,,
,98,올스텟 +98,20,"1,010",-,"5,900",,,,,,,,,,,98,환생 포인트 획득량 98% 증가,178,"8,266",-,"21,100",,,98,최종 STR 98% 증가,257,"11,730",-,"17,300",,,98,최종 DEX 98% 증가,257,"11,730",-,"17,300",,,98,최종 INT 98% 증가,257,"11,730",-,"17,300",,,98,최종 LUK 98% 증가,257,"11,730",-,"17,300",,,98,최종 공격력 98% 증가,346,"15,886",-,"21,100",,,98,최종 크리티컬 데미지 98% 증가,435,"20,041",-,"24,360",,,98,이세계의 재화 2배 획득 확률 49% 증가,792,"36,149",-,"26,630",,,,,,,,
,99,올스텟 +99,20,"1,030",-,"5,900",,,,,,,,,,,99,환생 포인트 획득량 99% 증가,180,"8,444",-,"21,100",,,99,최종 STR 99% 증가,260,"11,987",-,"17,300",,,99,최종 DEX 99% 증가,260,"11,987",-,"17,300",,,99,최종 INT 99% 증가,260,"11,987",-,"17,300",,,99,최종 LUK 99% 증가,260,"11,987",-,"17,300",,,99,최종 공격력 99% 증가,350,"16,232",-,"21,100",,,99,최종 크리티컬 데미지 99% 증가,440,"20,476",-,"24,360",,,99,이세계의 재화 2배 획득 확률 49.5% 증가,801,"36,941",-,"26,630",,,,,,,,
,100,올스텟 +100,21,"1,050",💎 400,"6,300",,,,,,,,,,,100,환생 포인트 획득량 100% 증가,182,"8,624","💎 2,000","23,100",,,100,최종 STR 100% 증가,263,"12,247","💎 1,600","18,900",,,100,최종 DEX 100% 증가,263,"12,247","💎 1,600","18,900",,,100,최종 INT 100% 증가,263,"12,247","💎 1,600","18,900",,,100,최종 LUK 100% 증가,263,"12,247","💎 1,600","18,900",,,100,최종 공격력 100% 증가,354,"16,582","💎 2,000","23,100",,,100,최종 크리티컬 데미지 100% 증가,445,"20,916","💎 2,000","26,360",,,100,이세계의 재화 2배 획득 확률 50% 증가,-,"37,742",-,"26,630",,,,,,,,
,101,올스텟 +101,21,"1,071",-,"6,300",,,,,,,,,,,101,환생 포인트 획득량 101% 증가,184,"8,806",-,"23,100",,,101,최종 STR 101% 증가,266,"12,510",-,"18,900",,,101,최종 DEX 101% 증가,266,"12,510",-,"18,900",,,101,최종 INT 101% 증가,266,"12,510",-,"18,900",,,101,최종 LUK 101% 증가,266,"12,510",-,"18,900",,,101,최종 공격력 101% 증가,358,"16,936",-,"23,100",,,101,최종 크리티컬 데미지 101% 증가,450,"21,361",-,"26,360",,,,,,,,,,,,,,,,
,102,올스텟 +102,21,"1,092",-,"6,300",,,,,,,,,,,102,환생 포인트 획득량 102% 증가,186,"8,990",-,"23,100",,,102,최종 STR 102% 증가,269,"12,776",-,"18,900",,,102,최종 DEX 102% 증가,269,"12,776",-,"18,900",,,102,최종 INT 102% 증가,269,"12,776",-,"18,900",,,102,최종 LUK 102% 증가,269,"12,776",-,"18,900",,,102,최종 공격력 102% 증가,362,"17,294",-,"23,100",,,102,최종 크리티컬 데미지 102% 증가,455,"21,811",-,"26,360",,,,,,,,,,,,,,,,
,103,올스텟 +103,21,"1,113",-,"6,300",,,,,,,,,,,103,환생 포인트 획득량 103% 증가,188,"9,176",-,"23,100",,,103,최종 STR 103% 증가,272,"13,045",-,"18,900",,,103,최종 DEX 103% 증가,272,"13,045",-,"18,900",,,103,최종 INT 103% 증가,272,"13,045",-,"18,900",,,103,최종 LUK 103% 증가,272,"13,045",-,"18,900",,,103,최종 공격력 103% 증가,366,"17,656",-,"23,100",,,103,최종 크리티컬 데미지 103% 증가,460,"22,266",-,"26,360",,,,,,,,,,,,,,,,
,104,올스텟 +104,21,"1,134",-,"6,300",,,,,,,,,,,104,환생 포인트 획득량 104% 증가,190,"9,364",-,"23,100",,,104,최종 STR 104% 증가,275,"13,317",-,"18,900",,,104,최종 DEX 104% 증가,275,"13,317",-,"18,900",,,104,최종 INT 104% 증가,275,"13,317",-,"18,900",,,104,최종 LUK 104% 증가,275,"13,317",-,"18,900",,,104,최종 공격력 104% 증가,370,"18,022",-,"23,100",,,104,최종 크리티컬 데미지 104% 증가,465,"22,726",-,"26,360",,,,,,,,,,,,,,,,
,105,올스텟 +105,22,"1,155",💎 410,"6,710",,,,,,,,,,,105,환생 포인트 획득량 105% 증가,192,"9,554","💎 2,000","25,100",,,105,최종 STR 105% 증가,278,"13,592","💎 1,670","20,570",,,105,최종 DEX 105% 증가,278,"13,592","💎 1,670","20,570",,,105,최종 INT 105% 증가,278,"13,592","💎 1,670","20,570",,,105,최종 LUK 105% 증가,278,"13,592","💎 1,670","20,570",,,105,최종 공격력 105% 증가,374,"18,392","💎 2,000","25,100",,,105,최종 크리티컬 데미지 105% 증가,470,"23,191","💎 2,000","28,360",,,,,,,,,,,,,,,,
,106,올스텟 +106,22,"1,177",-,"6,710",,,,,,,,,,,106,환생 포인트 획득량 106% 증가,194,"9,746",-,"25,100",,,106,최종 STR 106% 증가,281,"13,870",-,"20,570",,,106,최종 DEX 106% 증가,281,"13,870",-,"20,570",,,106,최종 INT 106% 증가,281,"13,870",-,"20,570",,,106,최종 LUK 106% 증가,281,"13,870",-,"20,570",,,106,최종 공격력 106% 증가,378,"18,766",-,"25,100",,,106,최종 크리티컬 데미지 106% 증가,475,"23,661",-,"28,360",,,,,,,,,,,,,,,,
,107,올스텟 +107,22,"1,199",-,"6,710",,,,,,,,,,,107,환생 포인트 획득량 107% 증가,196,"9,940",-,"25,100",,,107,최종 STR 107% 증가,284,"14,151",-,"20,570",,,107,최종 DEX 107% 증가,284,"14,151",-,"20,570",,,107,최종 INT 107% 증가,284,"14,151",-,"20,570",,,107,최종 LUK 107% 증가,284,"14,151",-,"20,570",,,107,최종 공격력 107% 증가,382,"19,144",-,"25,100",,,107,최종 크리티컬 데미지 107% 증가,480,"24,136",-,"28,360",,,,,,,,,,,,,,,,
,108,올스텟 +108,22,"1,221",-,"6,710",,,,,,,,,,,108,환생 포인트 획득량 108% 증가,198,"10,136",-,"25,100",,,108,최종 STR 108% 증가,287,"14,435",-,"20,570",,,108,최종 DEX 108% 증가,287,"14,435",-,"20,570",,,108,최종 INT 108% 증가,287,"14,435",-,"20,570",,,108,최종 LUK 108% 증가,287,"14,435",-,"20,570",,,108,최종 공격력 108% 증가,386,"19,526",-,"25,100",,,108,최종 크리티컬 데미지 108% 증가,485,"24,616",-,"28,360",,,,,,,,,,,,,,,,
,109,올스텟 +109,22,"1,243",-,"6,710",,,,,,,,,,,109,환생 포인트 획득량 109% 증가,199,"10,334",-,"25,100",,,109,최종 STR 109% 증가,289,"14,722",-,"20,570",,,109,최종 DEX 109% 증가,289,"14,722",-,"20,570",,,109,최종 INT 109% 증가,289,"14,722",-,"20,570",,,109,최종 LUK 109% 증가,289,"14,722",-,"20,570",,,109,최종 공격력 109% 증가,389,"19,912",-,"25,100",,,109,최종 크리티컬 데미지 109% 증가,489,"25,101",-,"28,360",,,,,,,,,,,,,,,,
,110,올스텟 +110,23,"1,265",💎 420,"7,130",,,,,,,,,,,110,환생 포인트 획득량 110% 증가,201,"10,533","💎 2,000","27,100",,,110,최종 STR 110% 증가,292,"15,011","💎 1,740","22,310",,,110,최종 DEX 110% 증가,292,"15,011","💎 1,740","22,310",,,110,최종 INT 110% 증가,292,"15,011","💎 1,740","22,310",,,110,최종 LUK 110% 증가,292,"15,011","💎 1,740","22,310",,,110,최종 공격력 110% 증가,393,"20,301","💎 2,000","27,100",,,110,최종 크리티컬 데미지 110% 증가,494,"25,590","💎 2,000","30,360",,,,,,,,,,,,,,,,
,111,올스텟 +111,23,"1,288",-,"7,130",,,,,,,,,,,111,환생 포인트 획득량 111% 증가,203,"10,734",-,"27,100",,,111,최종 STR 111% 증가,295,"15,303",-,"22,310",,,111,최종 DEX 111% 증가,295,"15,303",-,"22,310",,,111,최종 INT 111% 증가,295,"15,303",-,"22,310",,,111,최종 LUK 111% 증가,295,"15,303",-,"22,310",,,111,최종 공격력 111% 증가,397,"20,694",-,"27,100",,,111,최종 크리티컬 데미지 111% 증가,499,"26,084",-,"30,360",,,,,,,,,,,,,,,,
,112,올스텟 +112,23,"1,311",-,"7,130",,,,,,,,,,,112,환생 포인트 획득량 112% 증가,205,"10,937",-,"27,100",,,112,최종 STR 112% 증가,298,"15,598",-,"22,310",,,112,최종 DEX 112% 증가,298,"15,598",-,"22,310",,,112,최종 INT 112% 증가,298,"15,598",-,"22,310",,,112,최종 LUK 112% 증가,298,"15,598",-,"22,310",,,112,최종 공격력 112% 증가,401,"21,091",-,"27,100",,,112,최종 크리티컬 데미지 112% 증가,504,"26,583",-,"30,360",,,,,,,,,,,,,,,,
,113,올스텟 +113,23,"1,334",-,"7,130",,,,,,,,,,,113,환생 포인트 획득량 113% 증가,207,"11,142",-,"27,100",,,113,최종 STR 113% 증가,301,"15,896",-,"22,310",,,113,최종 DEX 113% 증가,301,"15,896",-,"22,310",,,113,최종 INT 113% 증가,301,"15,896",-,"22,310",,,113,최종 LUK 113% 증가,301,"15,896",-,"22,310",,,113,최종 공격력 113% 증가,405,"21,492",-,"27,100",,,113,최종 크리티컬 데미지 113% 증가,509,"27,087",-,"30,360",,,,,,,,,,,,,,,,
,114,올스텟 +114,23,"1,357",-,"7,130",,,,,,,,,,,114,환생 포인트 획득량 114% 증가,209,"11,349",-,"27,100",,,114,최종 STR 114% 증가,304,"16,197",-,"22,310",,,114,최종 DEX 114% 증가,304,"16,197",-,"22,310",,,114,최종 INT 114% 증가,304,"16,197",-,"22,310",,,114,최종 LUK 114% 증가,304,"16,197",-,"22,310",,,114,최종 공격력 114% 증가,409,"21,897",-,"27,100",,,114,최종 크리티컬 데미지 114% 증가,514,"27,596",-,"30,360",,,,,,,,,,,,,,,,
,115,올스텟 +115,24,"1,380",💎 430,"7,560",,,,,,,,,,,115,환생 포인트 획득량 115% 증가,211,"11,558","💎 2,000","29,100",,,115,최종 STR 115% 증가,307,"16,501","💎 1,810","24,120",,,115,최종 DEX 115% 증가,307,"16,501","💎 1,810","24,120",,,115,최종 INT 115% 증가,307,"16,501","💎 1,810","24,120",,,115,최종 LUK 115% 증가,307,"16,501","💎 1,810","24,120",,,115,최종 공격력 115% 증가,413,"22,306","💎 2,000","29,100",,,115,최종 크리티컬 데미지 115% 증가,519,"28,110","💎 2,000","32,360",,,,,,,,,,,,,,,,
,116,올스텟 +116,24,"1,404",-,"7,560",,,,,,,,,,,116,환생 포인트 획득량 116% 증가,213,"11,769",-,"29,100",,,116,최종 STR 116% 증가,310,"16,808",-,"24,120",,,116,최종 DEX 116% 증가,310,"16,808",-,"24,120",,,116,최종 INT 116% 증가,310,"16,808",-,"24,120",,,116,최종 LUK 116% 증가,310,"16,808",-,"24,120",,,116,최종 공격력 116% 증가,417,"22,719",-,"29,100",,,116,최종 크리티컬 데미지 116% 증가,524,"28,629",-,"32,360",,,,,,,,,,,,,,,,
,117,올스텟 +117,24,"1,428",-,"7,560",,,,,,,,,,,117,환생 포인트 획득량 117% 증가,215,"11,982",-,"29,100",,,117,최종 STR 117% 증가,313,"17,118",-,"24,120",,,117,최종 DEX 117% 증가,313,"17,118",-,"24,120",,,117,최종 INT 117% 증가,313,"17,118",-,"24,120",,,117,최종 LUK 117% 증가,313,"17,118",-,"24,120",,,117,최종 공격력 117% 증가,421,"23,136",-,"29,100",,,117,최종 크리티컬 데미지 117% 증가,529,"29,153",-,"32,360",,,,,,,,,,,,,,,,
,118,올스텟 +118,24,"1,452",-,"7,560",,,,,,,,,,,118,환생 포인트 획득량 118% 증가,217,"12,197",-,"29,100",,,118,최종 STR 118% 증가,316,"17,431",-,"24,120",,,118,최종 DEX 118% 증가,316,"17,431",-,"24,120",,,118,최종 INT 118% 증가,316,"17,431",-,"24,120",,,118,최종 LUK 118% 증가,316,"17,431",-,"24,120",,,118,최종 공격력 118% 증가,425,"23,557",-,"29,100",,,118,최종 크리티컬 데미지 118% 증가,534,"29,682",-,"32,360",,,,,,,,,,,,,,,,
,119,올스텟 +119,24,"1,476",-,"7,560",,,,,,,,,,,119,환생 포인트 획득량 119% 증가,219,"12,414",-,"29,100",,,119,최종 STR 119% 증가,319,"17,747",-,"24,120",,,119,최종 DEX 119% 증가,319,"17,747",-,"24,120",,,119,최종 INT 119% 증가,319,"17,747",-,"24,120",,,119,최종 LUK 119% 증가,319,"17,747",-,"24,120",,,119,최종 공격력 119% 증가,429,"23,982",-,"29,100",,,119,최종 크리티컬 데미지 119% 증가,539,"30,216",-,"32,360",,,,,,,,,,,,,,,,
,120,올스텟 +120,25,"1,500",💎 440,"8,000",,,,,,,,,,,120,환생 포인트 획득량 120% 증가,221,"12,633","💎 2,000","31,100",,,120,최종 STR 120% 증가,322,"18,066","💎 1,880","26,000",,,120,최종 DEX 120% 증가,322,"18,066","💎 1,880","26,000",,,120,최종 INT 120% 증가,322,"18,066","💎 1,880","26,000",,,120,최종 LUK 120% 증가,322,"18,066","💎 1,880","26,000",,,120,최종 공격력 120% 증가,433,"24,411","💎 2,000","31,100",,,120,최종 크리티컬 데미지 120% 증가,544,"30,755","💎 2,000","34,360",,,,,,,,,,,,,,,,
,121,올스텟 +121,25,"1,525",-,"8,000",,,,,,,,,,,121,환생 포인트 획득량 121% 증가,223,"12,854",-,"31,100",,,121,최종 STR 121% 증가,325,"18,388",-,"26,000",,,121,최종 DEX 121% 증가,325,"18,388",-,"26,000",,,121,최종 INT 121% 증가,325,"18,388",-,"26,000",,,121,최종 LUK 121% 증가,325,"18,388",-,"26,000",,,121,최종 공격력 121% 증가,437,"24,844",-,"31,100",,,121,최종 크리티컬 데미지 121% 증가,549,"31,299",-,"34,360",,,,,,,,,,,,,,,,
,122,올스텟 +122,25,"1,550",-,"8,000",,,,,,,,,,,122,환생 포인트 획득량 122% 증가,225,"13,077",-,"31,100",,,122,최종 STR 122% 증가,328,"18,713",-,"26,000",,,122,최종 DEX 122% 증가,328,"18,713",-,"26,000",,,122,최종 INT 122% 증가,328,"18,713",-,"26,000",,,122,최종 LUK 122% 증가,328,"18,713",-,"26,000",,,122,최종 공격력 122% 증가,441,"25,281",-,"31,100",,,122,최종 크리티컬 데미지 122% 증가,554,"31,848",-,"34,360",,,,,,,,,,,,,,,,
,123,올스텟 +123,25,"1,575",-,"8,000",,,,,,,,,,,123,환생 포인트 획득량 123% 증가,228,"13,302",-,"31,100",,,123,최종 STR 123% 증가,332,"19,041",-,"26,000",,,123,최종 DEX 123% 증가,332,"19,041",-,"26,000",,,123,최종 INT 123% 증가,332,"19,041",-,"26,000",,,123,최종 LUK 123% 증가,332,"19,041",-,"26,000",,,123,최종 공격력 123% 증가,446,"25,722",-,"31,100",,,123,최종 크리티컬 데미지 123% 증가,560,"32,402",-,"34,360",,,,,,,,,,,,,,,,
,124,올스텟 +124,25,"1,600",-,"8,000",,,,,,,,,,,124,환생 포인트 획득량 124% 증가,230,"13,530",-,"31,100",,,124,최종 STR 124% 증가,335,"19,373",-,"26,000",,,124,최종 DEX 124% 증가,335,"19,373",-,"26,000",,,124,최종 INT 124% 증가,335,"19,373",-,"26,000",,,124,최종 LUK 124% 증가,335,"19,373",-,"26,000",,,124,최종 공격력 124% 증가,450,"26,168",-,"31,100",,,124,최종 크리티컬 데미지 124% 증가,565,"32,962",-,"34,360",,,,,,,,,,,,,,,,
